FF8C,"HALFWIDTH KATAKANA LETTER HU"
FF8D,"HALFWIDTH KATAKANA LETTER HE"
FF8E,"HALFWIDTH KATAKANA LETTER HO"
FF8F,"HALFWIDTH KATAKANA LETTER MA"
FF90,"HALFWIDTH KATAKANA LETTER MI"
FF91,"HALFWIDTH KATAKANA LETTER MU"
FF92,"HALFWIDTH KATAKANA LETTER ME"
FF93,"HALFWIDTH KATAKANA LETTER MO"
FF94,"HALFWIDTH KATAKANA LETTER YA"
FF95,"HALFWIDTH KATAKANA LETTER YU"
FF96,"HALFWIDTH KATAKANA LETTER YO"
FF97,"HALFWIDTH KATAKANA LETTER RA"
FF98,"HALFWIDTH KATAKANA LETTER RI"
FF99,"HALFWIDTH KATAKANA LETTER RU"
FF9A,"HALFWIDTH KATAKANA LETTER RE"
FF9B,"HALFWIDTH KATAKANA LETTER RO"
FF9C,"HALFWIDTH KATAKANA LETTER WA"
FF9D,"HALFWIDTH KATAKANA LETTER N"
